"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4885","TC04: Add two items and verify them in the cart page","chromium","2026-06-14","passed","2026-06-14","Product and Cart Management","","",""
"","7223","TC05: Should cancel the checkout from overview page and return to inventory","chromium","2026-06-14","passed","2026-06-14","Checkout Flow","","",""
"","2716","TC05: Remove an item from the cart page","chromium","2026-06-14","passed","2026-06-14","Product and Cart Management","","",""
"","4872","TC03: Add and remove an item from inventory page","chromium","2026-06-14","passed","2026-06-14","Product and Cart Management","","",""
"","7968","TC01: Successful login with valid credentials","chromium","2026-06-14","passed","2026-06-14","Login and Authentication","","",""
"","8504","TC01: Successful checkout (happy path)","chromium","2026-06-14","passed","2026-06-14","Checkout Flow","","",""
"","3925","TC02: Unsuccessful login with invalid password","chromium","2026-06-14","passed","2026-06-14","Login and Authentication","","",""
"","6654","TC05: Successful logout","chromium","2026-06-14","passed","2026-06-14","Login and Authentication","","",""
"","5291","TC02: Sort products by Price (low to high)","chromium","2026-06-14","passed","2026-06-14","Product and Cart Management","","",""
"","6598","TC04: Unsuccessful login with a locked out user","chromium","2026-06-14","passed","2026-06-14","Login and Authentication","","",""
"","7641","TC02: Should show an error when First Name is empty","chromium","2026-06-14","passed","2026-06-14","Checkout Flow","","",""
"","6550","TC04: Should show an error when Postal Code is empty","chromium","2026-06-14","passed","2026-06-14","Checkout Flow","","",""
"","3444","TC03: Unsuccessful login with non-existent user","chromium","2026-06-14","passed","2026-06-14","Login and Authentication","","",""
"","5958","TC01: Add a single item to the cart and verify cart badge","chromium","2026-06-14","passed","2026-06-14","Product and Cart Management","","",""
"","7248","TC03: Should show an error when Last Name is empty","chromium","2026-06-14","passed","2026-06-14","Checkout Flow","","",""
